ANO_CONCESSAO_BOLSA;NOME_IES_BOLSA;TIPO_BOLSA;MODALIDADE_ENSINO_BOLSA;NOME_CURSO_BOLSA;NOME_TURNO_CURSO_BOLSA;SEXO_BENEFICIARIO_BOLSA;RACA_BENEFICIARIO_BOLSA;DT_NASCIMENTO_BENEFICIARIO;BENEFICIARIO_DEFICIENTE_FISICO;SIGLA_UF_BENEFICIARIO_BOLSA;MUNICIPIO_BENEFICIARIO_BOLSA;IDADE
2018;UNIVERSIDADE DE UBERABA;BOLSA INTEGRAL;EAD;Ciências Biológicas;Curso a distância;F;Branca;2000-03-28;N;MG;UBERABA;20
2018;UNIVERSIDADE DE UBERABA;BOLSA INTEGRAL;EAD;Ciências Biológicas;Curso a distância;M;Branca;1976-06-27;N;MG;CONTAGEM;44
2018;UNIVERSIDADE DE UBERABA;BOLSA INTEGRAL;EAD;Ciências Biológicas;Curso a distância;F;Parda;1999-08-07;N;MG;VIRGINOPOLIS;21
2018;UNIVERSIDADE DE UBERABA;BOLSA INTEGRAL;EAD;Ciências Biológicas;Curso a distância;M;Parda;2000-11-01;N;MG;RIBEIRAO DAS NEVES;20
2018;UNIVERSIDADE DE UBERABA;BOLSA INTEGRAL;EAD;Ciências Biológicas;Curso a distância;F;Parda;1998-06-05;N;MG;SABINOPOLIS;22
2018;UNIVERSIDADE DE UBERABA;BOLSA INTEGRAL;EAD;Ciências Biológicas;Curso a distância;F;Parda;1970-06-17;N;MG;UBERABA;50
2018;UNIVERSIDADE DE UBERABA;BOLSA INTEGRAL;EAD;Ciências Biológicas;Curso a distância;F;Parda;2000-01-08;N;MG;GOVERNADOR VALADARES;21
2018;UNIVERSIDADE DE UBERABA;BOLSA INTEGRAL;EAD;Ciências Biológicas;Curso a distância;F;Branca;1995-12-23;N;MG;TEOFILO OTONI;25
2018;UNIVERSIDADE DE UBERABA;BOLSA INTEGRAL;EAD;Ciências Biológicas;Curso a distância;F;Preta;1998-06-29;N;MG;COLUNA;22
2018;UNIVERSIDADE DE UBERABA;BOLSA INTEGRAL;EAD;Ciências Biológicas(Ed);Curso a distância;F;Branca;1995-12-23;N;MG;TEOFILO OTONI;25
